NOMBDEPTO,NOMBLOC,POBLACION,CANT_FARMACIAS
COLONIA,JUAN LACAZE,12816.0,3
COLONIA,NUEVA HELVECIA,10630.0,4
COLONIA,ROSARIO,10085.0,2
COLONIA,NUEVA PALMIRA,9857.0,3
COLONIA,PASO ANTOLIN,78.0,0
COLONIA,OMBUES DE LAVALLE,3390.0,2
COLONIA,TARARIRAS,6632.0,3
COLONIA,COLONIA VALDENSE,3235.0,2
COLONIA,FLORENCIO SANCHEZ,3716.0,3
COLONIA,CONCHILLAS,401.0,0
COLONIA,CASERIO EL CERRO,168.0,0
COLONIA,LA PAZ,603.0,0
COLONIA,RIACHUELO,138.0,0
COLONIA,JUAN CARLOS CASEROS,85.0,0
COLONIA,AGRACIADA,192.0,1
COLONIA,BOCA DEL ROSARIO,12.0,0
COLONIA,CUFRE,353.0,0
COLONIA,EL SEMILLERO,600.0,0
COLONIA,ESTACION ESTANZUELA,249.0,0
COLONIA,CERROS DE SAN JUAN,60.0,0
COLONIA,MIGUELETE,999.0,1
COLONIA,RURAL,11471.0,24
COLONIA,CAMPANA,298.0,0
COLONIA,ARTILLEROS,73.0,0
COLONIA,BARKER,158.0,0
COLONIA,EL ENSUEÑO,19.0,0
COLONIA,BLANCA ARENA,69.0,0
COLONIA,BRISAS DEL PLATA,27.0,0
COLONIA,COLONIA COSMOPOLITA,73.0,0
COLONIA,PARAJE MINUANO,120.0,0
COLONIA,LOS PINOS,193.0,1
COLONIA,CHICO TORINO,61.0,0
COLONIA,LA HORQUETA,100.0,0
COLONIA,PLAYA AZUL,25.0,1
COLONIA,PLAYA BRITOPOLIS,107.0,1
COLONIA,PLAYA PARANT,45.0,1
COLONIA,PLAYA FOMENTO,84.0,1
COLONIA,PUERTO INGLES,60.0,0
COLONIA,RADIAL HERNANDEZ,294.0,0
COLONIA,SAN PEDRO,73.0,0
COLONIA,SANTA ANA,222.0,0
COLONIA,SANTA REGINA,52.0,0
COLONIA,ZAGARZAZU,96.0,0
COLONIA,ARRIVILLAGA,112.0,0
COLONIA,EL FARO,9.0,0
COLONIA,LAGUNA DE LOS PATOS,136.0,0
COLONIA,JUAN JACKSON,68.0,0
COLONIA,PUEBLO GIL,309.0,0
COLONIA,CERRO CARMELO,222.0,0
COLONIA,EL QUINTON,56.0,0
DURAZNO,DURAZNO,34368.0,5
DURAZNO,SARANDI DEL YI,7176.0,3
DURAZNO,CARMEN,2692.0,0
DURAZNO,BLANQUILLO,1084.0,0
DURAZNO,LA PALOMA,1443.0,0
DURAZNO,CARLOS REYLES,976.0,0
DURAZNO,CENTENARIO,1136.0,1
DURAZNO,SANTA BERNARDINA,1094.0,0
DURAZNO,CERRO CHATO,1124.0,2
DURAZNO,BAYGORRIA,161.0,0
DURAZNO,RURAL,4951.0,5
DURAZNO,AGUAS BUENAS,86.0,0
DURAZNO,PUEBLO DE ALVAREZ,29.0,0
DURAZNO,FELICIANO,77.0,0
DURAZNO,OMBUES DE ORIBE,89.0,0
DURAZNO,ROSSELL Y RIUS,72.0,0
DURAZNO,SAN JORGE,502.0,0
DURAZNO,LAS PALMAS,24.0,0
FLORES,TRINIDAD,21429.0,8
FLORES,ISMAEL CORTINAS,918.0,1
FLORES,RURAL,2068.0,6
FLORES,ANDRESITO,261.0,0
FLORES,JUAN JOSE CASTRO,97.0,0
FLORES,LA CASILLA,181.0,0
FLORES,CERRO COLORADO,96.0,0
FLORIDA,FLORIDA,33639.0,2
FLORIDA,SARANDI GRANDE,6130.0,2
FLORIDA,CASUPA,2402.0,1
FLORIDA,CARDAL,1202.0,1
FLORIDA,FRAY MARCOS,2398.0,0
FLORIDA,25 DE AGOSTO,1849.0,0
FLORIDA,25 DE MAYO,1852.0,1
FLORIDA,ALEJANDRO GALLINAL,1357.0,0
FLORIDA,CAPILLA DEL SAUCE,835.0,1
FLORIDA,LA CRUZ,747.0,0
FLORIDA,NICO PEREZ,1030.0,1
FLORIDA,CERRO CHATO,409.0,2
FLORIDA,CHAMIZO,540.0,0
FLORIDA,GOÑI,246.0,0
FLORIDA,MENDOZA,730.0,1
FLORIDA,MENDOZA CHICO,810.0,0
FLORIDA,REBOLEDO,342.0,0
FLORIDA,VALENTINES,45.0,0
FLORIDA,RURAL,9101.0,13
FLORIDA,BERRONDO,166.0,0
FLORIDA,PUEBLO FERRER,3.0,0
FLORIDA,INDEPENDENCIA,396.0,0
FLORIDA,MONTECORAL,51.0,0
FLORIDA,PINTADO,170.0,0
FLORIDA,POLANCO DEL YI,38.0,0
FLORIDA,PUNTAS DE MACIEL,160.0,0
FLORIDA,ILLESCAS,83.0,0
FLORIDA,CASERIO LA FUNDACION,13.0,0
FLORIDA,LA MACANA,91.0,0
FLORIDA,ESTACION CAPILLA DEL SAUCE,40.0,0
FLORIDA,SAN GABRIEL,172.0,0
LAVALLEJA,MINAS,38446.0,7
LAVALLEJA,JOSE BATLLE Y ORDOÑEZ,2203.0,1
LAVALLEJA,JOSE PEDRO VARELA,5118.0,2
LAVALLEJA,MARISCALA,1626.0,1
